,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,num_workers
30,4,1,0.996493610739708,0.60935,4.294956684112549,6.550767421722412,0.01,1000,False,2
31,4,2,0.5388835658629735,0.7918166666666666,4.2708587646484375,10.937116146087646,0.01,1000,False,2
32,4,3,0.4436538591980934,0.8350833333333333,4.818955659866333,15.882732391357422,0.01,1000,False,2
33,4,4,0.3900152827302615,0.8538,4.338757276535034,20.331196308135986,0.01,1000,False,2
34,4,5,0.36098208328088127,0.8654666666666667,4.327530860900879,24.784393310546875,0.01,1000,False,2
35,4,6,0.34017917811870574,0.8729,4.463695764541626,29.365772485733032,0.01,1000,False,2
36,4,7,0.3267864853143692,0.87765,4.320602178573608,33.799893617630005,0.01,1000,False,2
37,4,8,0.3091277634104093,0.8846833333333334,4.290850639343262,38.19642782211304,0.01,1000,False,2
38,4,9,0.3072674388686816,0.8858,4.171175956726074,42.48429036140442,0.01,1000,False,2
39,4,10,0.29385693967342374,0.8909166666666667,4.229511976242065,46.83943200111389,0.01,1000,False,2
40,5,1,0.7360237712661425,0.7207666666666667,7.943852663040161,9.540614604949951,0.001,100,True,2
41,5,2,0.4809064598629872,0.8195666666666667,8.72497272491455,18.36631941795349,0.001,100,True,2
42,5,3,0.4114144769310951,0.8521,9.118597030639648,27.595619440078735,0.001,100,True,2
43,5,4,0.3693700801084439,0.8668166666666667,8.840715885162354,36.54604244232178,0.001,100,True,2
44,5,5,0.3379165055354436,0.8768,8.595927238464355,45.26862978935242,0.001,100,True,2
45,5,6,0.3198105506350597,0.8829,8.934611082077026,54.32890510559082,0.001,100,True,2
46,5,7,0.3037575173129638,0.8895833333333333,8.657234907150269,63.18511152267456,0.001,100,True,2
47,5,8,0.29220079305271307,0.8933833333333333,8.24202585220337,71.56374049186707,0.001,100,True,2
48,5,9,0.28216603614389896,0.8954833333333333,8.867511987686157,80.54591178894043,0.001,100,True,2
49,5,10,0.2735777027408282,0.8978,8.82272219657898,89.47087240219116,0.001,100,True,2
50,6,1,0.7806257708867391,0.7088,8.597388505935669,10.195116519927979,0.001,100,False,2
51,6,2,0.5174877027173838,0.8071833333333334,8.105735063552856,18.440478086471558,0.001,100,False,2
52,6,3,0.4438423969348272,0.8378666666666666,8.388973951339722,26.958077669143677,0.001,100,False,2
53,6,4,0.3987615188459555,0.85475,8.510971307754517,35.57372045516968,0.001,100,False,2
54,6,5,0.3683125269661347,0.8662,8.309531450271606,44.01190662384033,0.001,100,False,2
55,6,6,0.3464282421519359,0.8740333333333333,8.398299217224121,52.543848752975464,0.001,100,False,2
56,6,7,0.32932522423565386,0.8796833333333334,8.428478956222534,61.12043833732605,0.001,100,False,2
57,6,8,0.31567924842238426,0.88405,8.328129768371582,69.59118676185608,0.001,100,False,2
58,6,9,0.3039605584492286,0.8886166666666667,8.433610439300537,78.1674132347107,0.001,100,False,2
59,6,10,0.2937320532401403,0.8927333333333334,8.430163621902466,86.73122000694275,0.001,100,False,2
60,7,1,1.5608257412910462,0.46558333333333335,4.425155878067017,6.7230165004730225,0.001,1000,True,2
61,7,2,0.7415686895449957,0.7199333333333333,4.3926732540130615,11.242364406585693,0.001,1000,True,2
62,7,3,0.6437248935302099,0.75235,4.325756072998047,15.69374942779541,0.001,1000,True,2
63,7,4,0.5856226603190104,0.77375,4.313842058181763,20.128269910812378,0.001,1000,True,2
64,7,5,0.5501853307088216,0.789,4.3414552211761475,24.583394050598145,0.001,1000,True,2
65,7,6,0.5197934200366338,0.8027166666666666,4.385676860809326,29.083730459213257,0.001,1000,True,2
66,7,7,0.49589000940322875,0.8146666666666667,4.5957605838775635,33.79517960548401,0.001,1000,True,2
67,7,8,0.47281941076119743,0.8272166666666667,4.581644058227539,38.50245499610901,0.001,1000,True,2
68,7,9,0.45339449246724445,0.8356166666666667,4.3889617919921875,43.00012564659119,0.001,1000,True,2
69,7,10,0.4379759376247724,0.8423,4.407106876373291,47.50995850563049,0.001,1000,True,2
70,8,1,1.5317861835161846,0.45393333333333336,4.171591758728027,6.423267841339111,0.001,1000,False,2
71,8,2,0.7563835978507996,0.7124666666666667,4.312330961227417,10.836329698562622,0.001,1000,False,2
72,8,3,0.6497983644406001,0.7498,4.557825565338135,15.498874187469482,0.001,1000,False,2
73,8,4,0.5959086686372757,0.7704,6.008760690689087,21.620336294174194,0.001,1000,False,2
74,8,5,0.5616522178053855,0.7862166666666667,4.56850004196167,26.34043049812317,0.001,1000,False,2
75,8,6,0.5340119292338689,0.7982833333333333,4.493489027023315,30.970555067062378,0.001,1000,False,2
76,8,7,0.5099725529551506,0.8106833333333333,5.9810028076171875,37.08619785308838,0.001,1000,False,2
77,8,8,0.48927843272686006,0.8198666666666666,6.549482583999634,43.87504029273987,0.001,1000,False,2
78,8,9,0.47114120523134867,0.82845,5.1781165599823,49.21372747421265,0.001,1000,False,2
79,8,10,0.45552181601524355,0.8360666666666666,4.374134063720703,53.68460202217102,0.001,1000,False,2
