,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,num_workers
0,1,1,0.5823761025816202,0.7758,8.43885064125061,11.973617315292358,0.01,100,True,2
1,1,2,0.3852708034714063,0.8565833333333334,8.321277618408203,20.40061330795288,0.01,100,True,2
2,1,3,0.356762411147356,0.8665166666666667,8.059178590774536,28.552578687667847,0.01,100,True,2
3,1,4,0.33395005541543166,0.8758333333333334,8.951428890228271,37.6067328453064,0.01,100,True,2
4,1,5,0.3247017431507508,0.8784,8.291409730911255,46.006852865219116,0.01,100,True,2
5,1,6,0.3103668245424827,0.88345,8.187130212783813,54.3236358165741,0.01,100,True,2
6,1,7,0.3097469708571831,0.8853166666666666,8.652881622314453,63.07126569747925,0.01,100,True,2
7,1,8,0.3056189652408163,0.88695,8.733044624328613,71.90005421638489,0.01,100,True,2
8,1,9,0.2991064151500662,0.88935,8.23697829246521,80.23576974868774,0.01,100,True,2
9,1,10,0.2975855261087418,0.8898666666666667,8.530392408370972,88.86187982559204,0.01,100,True,2
10,2,1,0.5595585896074772,0.7905833333333333,8.717138528823853,10.360953092575073,0.01,100,False,2
11,2,2,0.3765303356200457,0.8615,8.12537169456482,18.59104347229004,0.01,100,False,2
12,2,3,0.3478287430604299,0.8718166666666667,8.757479429244995,27.442272663116455,0.01,100,False,2
13,2,4,0.3324130503833294,0.8770666666666667,8.605146169662476,36.15133285522461,0.01,100,False,2
14,2,5,0.3240024177233378,0.8799166666666667,8.429142951965332,44.68916940689087,0.01,100,False,2
15,2,6,0.316424360498786,0.8816666666666667,8.57725715637207,53.36812210083008,0.01,100,False,2
16,2,7,0.3106386589507262,0.8859333333333334,8.979210615158081,62.46398735046387,0.01,100,False,2
17,2,8,0.30515663022796313,0.8875333333333333,9.231232404708862,71.82184958457947,0.01,100,False,2
18,2,9,0.30204890098422765,0.8886666666666667,8.35979175567627,80.29035139083862,0.01,100,False,2
19,2,10,0.3000973908603191,0.8902333333333333,8.723280429840088,89.1243348121643,0.01,100,False,2
20,3,1,1.039246882001559,0.6050166666666666,4.547460079193115,6.954031705856323,0.01,1000,True,2
21,3,2,0.5506111492713293,0.7904,4.6229307651519775,11.706151485443115,0.01,1000,True,2
22,3,3,0.45747174372275673,0.8317333333333333,4.350776195526123,16.149646282196045,0.01,1000,True,2
23,3,4,0.3902368610103925,0.85735,4.483402252197266,20.748711109161377,0.01,1000,True,2
24,3,5,0.3574127455552419,0.8688833333333333,4.363701820373535,25.250043392181396,0.01,1000,True,2
25,3,6,0.33383475641409555,0.8760166666666667,4.281039476394653,29.6467444896698,0.01,1000,True,2
26,3,7,0.31750521759192146,0.8830333333333333,4.504179954528809,34.28157329559326,0.01,1000,True,2
27,3,8,0.30408428361018497,0.8874833333333333,4.293327331542969,38.682610273361206,0.01,1000,True,2
28,3,9,0.29494161208470665,0.8914333333333333,4.53266167640686,43.340935468673706,0.01,1000,True,2
29,3,10,0.2882023046414057,0.8919333333333334,4.893401384353638,48.396538734436035,0.01,1000,True,2
